date,source,headline,url,text,tone,goldstein_scale,actor1,actor2,event_code
2023-01-03,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230103_7073,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,-2.917522807208459,-9.681664298193775,Economy,Business,17
2023-01-03,WSJ,Consumer goods face headwinds from inflation,https://example.com/news/20230103_2899,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,9.54809032959031,-4.475412950013691,Banks,Business,17
2023-01-03,Financial Times,Financial services show resilience in challenging market,https://example.com/news/20230103_7969,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,4.978509222918335,8.293739538109788,Stock Market,Financial Sector,16
2023-01-04,Financial Times,Financial services show resilience in challenging market,https://example.com/news/20230104_5911,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,-6.782664767899151,-7.516259998010697,Banks,Market,15
2023-01-04,CNBC,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230104_4375,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,2.6327240499439886,3.61148189579676,Stock Market,Government,16
2023-01-04,Reuters,Financial services show resilience in challenging market,https://example.com/news/20230104_4033,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,-3.3426173803892034,5.429858327288917,Federal Reserve,Market,18
2023-01-04,Financial Times,Healthcare stocks mixed amid regulatory uncertainty,https://example.com/news/20230104_9769,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,9.663207657482396,9.240896406715454,Federal Reserve,Government,17
2023-01-04,CNBC,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230104_1646,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,9.004183098267395,-4.911201523737477,Federal Reserve,Business,17
2023-01-05,WSJ,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230105_2107,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-9.560032251722738,-5.055615169153949,Banks,Business,14
2023-01-05,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230105_8397,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,-2.150757867488673,-4.611983283309367,Stock Market,Government,16
2023-01-05,Reuters,Central banks coordinate response to market stress,https://example.com/news/20230105_3332,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,-1.0011153054943756,-7.118007270869267,Investors,Government,15
2023-01-05,Reuters,Consumer goods face headwinds from inflation,https://example.com/news/20230105_1434,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,-4.971450763725107,1.1222825156762362,Investors,Business,15
2023-01-05,Financial Times,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230105_4066,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,2.9506040994423732,-6.649474249801306,Federal Reserve,Government,17
2023-01-06,CNBC,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230106_5885,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,-9.126387986448421,4.438009403143093,Stock Market,Market,17
2023-01-06,Reuters,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230106_1111,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-4.041035067559604,-2.5156394663294157,Federal Reserve,Consumers,17
2023-01-06,Financial Times,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230106_3998,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,5.251766499881243,4.020837853356978,Federal Reserve,Financial Sector,16
2023-01-06,WSJ,Central banks coordinate response to market stress,https://example.com/news/20230106_6958,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,-2.8244259128519267,-8.89975626128563,Federal Reserve,Financial Sector,18
2023-01-06,Financial Times,Healthcare stocks mixed amid regulatory uncertainty,https://example.com/news/20230106_6287,Energy sector gains on oil price recovery Additional context about market conditions and investor sentiment.,-8.042830191545612,-9.50131302293335,Federal Reserve,Market,15
2023-01-06,Reuters,Energy sector gains on oil price recovery,https://example.com/news/20230106_4693,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-8.287518636208977,6.837642842062824,Investors,Market,17
2023-01-06,CNBC,Energy sector gains on oil price recovery,https://example.com/news/20230106_9714,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-2.969628982495296,-0.3470969181966477,Federal Reserve,Market,15
2023-01-07,CNBC,Consumer goods face headwinds from inflation,https://example.com/news/20230107_5860,Energy sector gains on oil price recovery Additional context about market conditions and investor sentiment.,4.446678005158688,-8.649594941229637,Banks,Market,17
2023-01-07,Reuters,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230107_8660,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-2.89703910056587,-1.7466428212241358,Stock Market,Financial Sector,17
2023-01-07,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230107_5621,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,-8.163262802709038,7.823275263655112,Investors,Consumers,18
2023-01-07,CNBC,Energy sector gains on oil price recovery,https://example.com/news/20230107_8204,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,9.767445426353635,-4.686060181299496,Federal Reserve,Business,16
2023-01-07,CNBC,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230107_9949,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,-8.57905854436751,-0.6903980013637279,Stock Market,Market,18
2023-01-07,Financial Times,Financial services show resilience in challenging market,https://example.com/news/20230107_3813,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,3.718648352565457,5.234220960760831,Banks,Market,16
2023-01-08,CNBC,Financial services show resilience in challenging market,https://example.com/news/20230108_9055,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,2.0817900407025958,-1.480014122792228,Federal Reserve,Business,15
2023-01-08,Bloomberg,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230108_8982,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,-4.164798372332992,-9.500014236832452,Stock Market,Government,17
2023-01-08,Financial Times,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230108_9480,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,-4.782029571966766,1.481619407743946,Federal Reserve,Government,15
2023-01-08,WSJ,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230108_5616,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,9.30753474861194,8.680353709097368,Federal Reserve,Financial Sector,17
2023-01-08,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230108_9809,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,-1.0909886797723733,-5.2904748256614464,Stock Market,Market,15
2023-01-08,Reuters,Financial services show resilience in challenging market,https://example.com/news/20230108_3801,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-8.278060690397757,3.982897690747982,Federal Reserve,Consumers,14
2023-01-08,Financial Times,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230108_8749,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,7.978337772067013,-4.95514050137936,Investors,Government,16
2023-01-09,Financial Times,Energy sector gains on oil price recovery,https://example.com/news/20230109_8300,Energy sector gains on oil price recovery Additional context about market conditions and investor sentiment.,7.491394477490834,0.28198316129568024,Stock Market,Market,15
2023-01-09,CNBC,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230109_9742,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,-0.9604866249336719,-5.594410738081644,Stock Market,Financial Sector,18
2023-01-09,Reuters,Energy sector gains on oil price recovery,https://example.com/news/20230109_7630,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,2.3871443377272517,-0.0384006500348999,Stock Market,Government,18
2023-01-09,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230109_5906,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,-3.452333061418682,4.891801316537132,Banks,Government,16
2023-01-09,CNBC,Consumer goods face headwinds from inflation,https://example.com/news/20230109_1881,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,3.169958401819275,9.565435900356029,Investors,Consumers,18
2023-01-09,Reuters,Central banks coordinate response to market stress,https://example.com/news/20230109_6766,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,-3.934542550722444,-4.844396026989328,Banks,Financial Sector,14
2023-01-09,Financial Times,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230109_9851,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,2.7840877126205466,-5.574777885398323,Stock Market,Business,18
2023-01-10,Reuters,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230110_3992,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,8.632665762630369,2.377647683291184,Stock Market,Consumers,14
2023-01-10,Bloomberg,Financial services show resilience in challenging market,https://example.com/news/20230110_7715,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-7.21129458794649,-3.037503150206333,Stock Market,Consumers,17
2023-01-10,Financial Times,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230110_6170,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-1.0884486104974833,8.374404618729974,Federal Reserve,Government,17
2023-01-10,CNBC,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230110_1322,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,8.224523364152208,6.115262492415354,Federal Reserve,Business,15
2023-01-10,Bloomberg,Healthcare stocks mixed amid regulatory uncertainty,https://example.com/news/20230110_9237,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,5.714722717026078,7.506499625099057,Federal Reserve,Market,14
2023-01-10,Reuters,Central banks coordinate response to market stress,https://example.com/news/20230110_9065,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,-3.7545172476623745,-0.043785277483221474,Banks,Business,16
2023-01-10,Reuters,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230110_6738,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-3.775674453409501,-4.373485221609679,Banks,Consumers,18
2023-01-10,CNBC,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230110_3481,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,1.375180943815888,6.825461824541317,Stock Market,Consumers,16
2023-01-10,WSJ,Financial services show resilience in challenging market,https://example.com/news/20230110_8549,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,-8.664927768512484,4.411838149807958,Banks,Business,16
2023-01-11,WSJ,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230111_4384,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,5.707679050584369,0.572867672428623,Investors,Consumers,15
2023-01-11,WSJ,Financial services show resilience in challenging market,https://example.com/news/20230111_2447,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,8.835897279627448,-0.3636985470693199,Economy,Consumers,18
2023-01-11,WSJ,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230111_8844,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,-4.457346039803285,-3.0885587945358184,Investors,Market,14
2023-01-11,Bloomberg,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230111_6607,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,1.293753819887662,-0.1323913227994966,Stock Market,Government,15
2023-01-11,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230111_7315,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-7.276446809601859,0.529360967616237,Federal Reserve,Market,17
2023-01-11,WSJ,Financial services show resilience in challenging market,https://example.com/news/20230111_6235,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-0.2342818009598835,-6.389778866692941,Stock Market,Financial Sector,15
2023-01-11,Reuters,Consumer goods face headwinds from inflation,https://example.com/news/20230111_5832,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,7.938881986864308,-6.07450518415771,Federal Reserve,Consumers,16
2023-01-11,Financial Times,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230111_7057,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,7.1076856159934,-2.46509184410165,Stock Market,Financial Sector,16
2023-01-11,Reuters,Consumer goods face headwinds from inflation,https://example.com/news/20230111_6106,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,-4.707456155659068,-0.11430338503796822,Federal Reserve,Financial Sector,15
2023-01-11,WSJ,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230111_2599,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,7.112875582562208,5.966592682244722,Investors,Financial Sector,17
2023-01-11,CNBC,Central banks coordinate response to market stress,https://example.com/news/20230111_9822,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-9.79073076057839,-5.682176526908959,Banks,Financial Sector,14
2023-01-11,Bloomberg,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230111_7896,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,4.7645936016751245,-1.5860717599940966,Banks,Financial Sector,15
2023-01-11,Reuters,Central banks coordinate response to market stress,https://example.com/news/20230111_9911,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,3.794698505945806,-4.804686011183714,Banks,Market,15
2023-01-11,Financial Times,Central banks coordinate response to market stress,https://example.com/news/20230111_6174,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,-5.145379999112707,2.191695405894891,Banks,Consumers,17
2023-01-12,Financial Times,Central banks coordinate response to market stress,https://example.com/news/20230112_1971,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,1.0483687083069726,-9.360328223328604,Federal Reserve,Market,16
2023-01-12,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230112_7954,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-4.116919575589955,-0.9544101752946355,Investors,Business,15
2023-01-12,WSJ,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230112_9656,Energy sector gains on oil price recovery Additional context about market conditions and investor sentiment.,-4.926509213128687,-7.851149962341606,Federal Reserve,Government,15
2023-01-12,WSJ,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230112_6032,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,8.211574648017868,3.370565496411897,Economy,Financial Sector,14
2023-01-12,Reuters,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230112_7648,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-2.148176062417595,4.713710707831538,Stock Market,Market,18
2023-01-13,Reuters,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230113_5311,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,8.188245492296263,-0.6822412999881888,Economy,Consumers,16
2023-01-13,Bloomberg,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230113_7468,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,6.305101215896601,2.404084578311174,Stock Market,Business,18
2023-01-13,WSJ,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230113_4650,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,1.888716840042739,-6.923254715582885,Banks,Market,17
2023-01-13,Reuters,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230113_1400,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,-6.404259722172809,5.420358783996222,Stock Market,Market,15
2023-01-13,CNBC,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230113_2745,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,8.778450964599005,-7.6999006873789355,Federal Reserve,Government,18
2023-01-13,CNBC,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230113_3901,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,5.5627233691810645,2.908425728733506,Banks,Consumers,18
2023-01-13,Bloomberg,Central banks coordinate response to market stress,https://example.com/news/20230113_9287,Energy sector gains on oil price recovery Additional context about market conditions and investor sentiment.,-3.0035415342133542,2.5630383366396114,Economy,Government,14
2023-01-13,Reuters,Financial services show resilience in challenging market,https://example.com/news/20230113_7520,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-9.850710404504067,-5.181827724356989,Banks,Market,16
2023-01-13,Financial Times,Financial services show resilience in challenging market,https://example.com/news/20230113_1693,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,-9.671146781803888,-3.2268248646269515,Stock Market,Business,14
2023-01-13,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230113_8979,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,7.757683672756334,-6.542440557108713,Stock Market,Consumers,16
2023-01-13,Bloomberg,Central banks coordinate response to market stress,https://example.com/news/20230113_8509,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-1.4504248643233497,-4.925971635464508,Banks,Business,14
2023-01-13,CNBC,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230113_7392,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,7.71944602379508,-6.899611325474173,Banks,Consumers,17
2023-01-13,CNBC,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230113_5051,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,6.3774257464795125,-8.109709582674006,Federal Reserve,Consumers,14
2023-01-14,Financial Times,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230114_9480,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,9.99653571780468,-9.572478261994952,Federal Reserve,Business,15
2023-01-14,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230114_3159,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,7.78582363872911,2.6256168620130937,Banks,Business,16
2023-01-14,Financial Times,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230114_2876,Energy sector gains on oil price recovery Additional context about market conditions and investor sentiment.,-5.1540012014455066,-7.984792635996976,Banks,Business,16
2023-01-14,CNBC,Financial services show resilience in challenging market,https://example.com/news/20230114_9474,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,2.122237435783929,-4.9976451658255545,Federal Reserve,Business,15
2023-01-14,Reuters,Healthcare stocks mixed amid regulatory uncertainty,https://example.com/news/20230114_1939,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,7.847811116811789,8.335564375422837,Banks,Financial Sector,16
2023-01-14,Bloomberg,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230114_9222,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,-3.0788260731296413,1.5173114415864641,Investors,Government,15
2023-01-15,WSJ,Healthcare stocks mixed amid regulatory uncertainty,https://example.com/news/20230115_8476,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,5.484956522947715,-7.615729706517003,Banks,Business,18
2023-01-15,CNBC,Central banks coordinate response to market stress,https://example.com/news/20230115_3303,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,-5.339598721258538,-1.415766786728443,Investors,Financial Sector,16
2023-01-15,Financial Times,Central banks coordinate response to market stress,https://example.com/news/20230115_7541,Corporate earnings disappoint as supply chain issues persist Additional context about market conditions and investor sentiment.,0.8191629493457953,1.3182838216120296,Stock Market,Business,17
2023-01-15,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230115_9342,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,6.360452198066044,-1.1385024641649388,Investors,Market,17
2023-01-15,Bloomberg,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230115_3602,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-4.466752378667145,-1.063654206679423,Banks,Government,17
2023-01-15,Bloomberg,Financial services show resilience in challenging market,https://example.com/news/20230115_5020,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-0.1516862722461476,-9.719667627385391,Investors,Business,17
2023-01-15,Reuters,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230115_2677,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,3.2899418708126316,6.372182659560721,Banks,Consumers,17
2023-01-15,WSJ,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230115_4692,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,-6.818495903120225,-7.429675892836773,Investors,Financial Sector,18
2023-01-15,CNBC,Financial services show resilience in challenging market,https://example.com/news/20230115_7355,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,1.1729285425549318,-7.370305771579058,Banks,Financial Sector,16
2023-01-15,Bloomberg,Consumer goods face headwinds from inflation,https://example.com/news/20230115_8049,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-8.435441353748573,7.283187001936977,Economy,Business,17
2023-01-15,CNBC,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230115_7568,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,-9.28054984987403,-0.2755467064906636,Investors,Market,17
2023-01-15,Reuters,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230115_7739,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,2.393254238451883,7.42186603690314,Economy,Financial Sector,15
2023-01-15,Reuters,Financial services show resilience in challenging market,https://example.com/news/20230115_8946,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,3.2823869407731787,7.0913489132330625,Federal Reserve,Business,15
2023-01-15,Financial Times,Fed signals potential rate hikes amid inflation concerns,https://example.com/news/20230115_7003,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,3.3898064339649547,5.6561333028151655,Banks,Financial Sector,18
2023-01-16,CNBC,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230116_6825,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,-2.6982442628165115,-2.0840098423899422,Investors,Consumers,15
2023-01-16,Reuters,Consumer goods face headwinds from inflation,https://example.com/news/20230116_2283,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,-3.844056001724232,-4.8245107772294915,Stock Market,Financial Sector,18
2023-01-16,Financial Times,Tech stocks rally on strong earnings and AI optimism,https://example.com/news/20230116_3187,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-4.8456858760082655,0.19174314229224665,Banks,Government,17
2023-01-16,Reuters,Central banks coordinate response to market stress,https://example.com/news/20230116_2185,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,5.349358836062208,-4.591993107279537,Investors,Market,17
